timestamp,product,price,strike,expiration_time,bid_1_price,bid_1_quantity,bid_2_price,bid_2_quantity,bid_3_price,bid_3_quantity,bid_4_price,bid_4_quantity,bid_5_price,bid_5_quantity,ask_1_price,ask_1_quantity,ask_2_price,ask_2_quantity,ask_3_price,ask_3_quantity,ask_4_price,ask_4_quantity,ask_5_price,ask_5_quantity
2025-05-14 02:03:15,BRTI,103621.92,,,,,,,,,,,,,,,,,,,,,,
2025-05-14 02:03:15,KXBTCD-25MAY1323-T102749.99,,102750.0,2025-05-14 03:05:00+00:00,82.0,3000.0,61.0,600.0,60.0,200.0,57.0,8000.0,3.0,80000.0,,,,,,,,,,
2025-05-14 02:03:15,KXBTCD-25MAY1323-T102999.99,,103000.0,2025-05-14 03:05:00+00:00,92.0,488.0,79.0,9.0,78.0,3000.0,53.0,8000.0,51.0,2600.0,97.0,600.0,98.0,80750.0,,,,,,
2025-05-14 02:03:15,KXBTCD-25MAY1323-T103999.99,,104000.0,2025-05-14 03:05:00+00:00,11.0,544.0,3.0,80000.0,,,,,,,16.0,850.0,17.0,2400.0,22.0,14.0,24.0,30.0,27.0,3000.0
2025-05-14 02:03:15,KXBTCD-25MAY1323-T103499.99,,103500.0,2025-05-14 03:05:00+00:00,62.0,2850.0,61.0,250.0,55.0,30.0,54.0,14.0,48.0,3000.0,65.0,14.0,67.0,250.0,68.0,30.0,88.0,9.0,89.0,2600.0
2025-05-14 02:03:15,KXBTCD-25MAY1323-T103749.99,,103750.0,2025-05-14 03:05:00+00:00,33.0,600.0,32.0,300.0,30.0,44.0,11.0,22000.0,10.0,6440.0,38.0,200.0,41.0,14.0,42.0,600.0,43.0,30.0,61.0,3000.0
2025-05-14 02:03:15,KXBTCD-25MAY1323-T103249.99,,103250.0,2025-05-14 03:05:00+00:00,84.0,600.0,83.0,200.0,75.0,14.0,74.0,30.0,71.0,3000.0,86.0,14.0,88.0,30.0,89.0,500.0,96.0,9.0,97.0,80000.0
2025-05-14 02:03:15,KXBTCD-25MAY1323-T102499.99,,102500.0,2025-05-14 03:05:00+00:00,84.0,3000.0,71.0,2600.0,70.0,200.0,59.0,8000.0,3.0,80000.0,,,,,,,,,,
2025-05-14 02:03:16,BRTI,103618.9,,,,,,,,,,,,,,,,,,,,,,
2025-05-14 02:03:16,KXBTCD-25MAY1323-T102749.99,,102750.0,2025-05-14 03:05:00+00:00,82.0,3000.0,61.0,600.0,60.0,200.0,57.0,8000.0,3.0,80000.0,,,,,,,,,,
2025-05-14 02:03:16,KXBTCD-25MAY1323-T103249.99,,103250.0,2025-05-14 03:05:00+00:00,84.0,600.0,83.0,200.0,75.0,14.0,74.0,30.0,71.0,3000.0,86.0,14.0,88.0,30.0,89.0,500.0,97.0,80000.0,,
2025-05-14 02:03:16,KXBTCD-25MAY1323-T103999.99,,104000.0,2025-05-14 03:05:00+00:00,11.0,544.0,3.0,80000.0,,,,,,,16.0,2850.0,17.0,400.0,22.0,14.0,24.0,30.0,27.0,3000.0
2025-05-14 02:03:16,KXBTCD-25MAY1323-T102499.99,,102500.0,2025-05-14 03:05:00+00:00,84.0,3000.0,71.0,2600.0,70.0,200.0,59.0,8000.0,3.0,80000.0,,,,,,,,,,
2025-05-14 02:03:16,KXBTCD-25MAY1323-T103749.99,,103750.0,2025-05-14 03:05:00+00:00,33.0,600.0,32.0,300.0,30.0,44.0,11.0,22000.0,10.0,6440.0,39.0,250.0,41.0,14.0,42.0,600.0,43.0,30.0,61.0,3000.0
