timestamp,product,price,strike,expiration_time,bid_1_price,bid_1_quantity,bid_2_price,bid_2_quantity,bid_3_price,bid_3_quantity,bid_4_price,bid_4_quantity,bid_5_price,bid_5_quantity,ask_1_price,ask_1_quantity,ask_2_price,ask_2_quantity,ask_3_price,ask_3_quantity,ask_4_price,ask_4_quantity,ask_5_price,ask_5_quantity
2025-05-14 04:02:35,BRTI,103547.07,,,,,,,,,,,,,,,,,,,,,,
2025-05-14 04:02:35,KXBTCD-25MAY1417-T103999.99,,104000.0,2025-05-14 21:05:00+00:00,35.0,500.0,34.0,300.0,1.0,64152.0,43.0,500.0,53.0,300.0,99.0,64152.0,,,,,,,,
2025-05-14 04:02:35,KXBTCD-25MAY1417-T102499.99,,102500.0,2025-05-14 21:05:00+00:00,71.0,600.0,53.0,300.0,1.0,64152.0,79.0,600.0,84.0,300.0,99.0,64152.0,,,,,,,,
2025-05-14 04:02:35,KXBTCD-25MAY1417-T104499.99,,104500.0,2025-05-14 21:05:00+00:00,24.0,600.0,23.0,300.0,1.0,64152.0,32.0,500.0,51.0,300.0,99.0,64152.0,,,,,,,,
2025-05-14 04:02:35,KXBTCD-25MAY1417-T104999.99,,105000.0,2025-05-14 21:05:00+00:00,15.0,900.0,12.0,300.0,4.0,16038.0,23.0,700.0,35.0,65.0,36.0,82.0,3.0,872.0,2.0,3742.0,37.0,168.0,38.0,210.0
2025-05-14 04:02:35,KXBTCD-25MAY1417-T101999.99,,102000.0,2025-05-14 21:05:00+00:00,79.0,800.0,55.0,300.0,1.0,64152.0,87.0,800.0,92.0,300.0,99.0,64152.0,,,,,,,,
2025-05-14 04:02:35,KXBTCD-25MAY1417-T103499.99,,103500.0,2025-05-14 21:05:00+00:00,48.0,400.0,47.0,300.0,35.0,38.0,56.0,500.0,58.0,300.0,69.0,38.0,34.0,131.0,33.0,165.0,70.0,131.0,71.0,165.0
2025-05-14 04:02:35,KXBTCD-25MAY1417-T102999.99,,103000.0,2025-05-14 21:05:00+00:00,60.0,300.0,51.0,300.0,49.0,26.0,68.0,600.0,71.0,300.0,82.0,3583.0,48.0,95.0,47.0,189.0,83.0,26.0,84.0,95.0
2025-05-14 04:02:37,BRTI,103547.01,,,,,,,,,,,,,,,,,,,,,,
2025-05-14 04:02:37,KXBTCD-25MAY1417-T102499.99,,102500.0,2025-05-14 21:05:00+00:00,71.0,600.0,53.0,300.0,1.0,64152.0,79.0,600.0,84.0,300.0,99.0,64152.0,,,,,,,,
2025-05-14 04:02:37,KXBTCD-25MAY1417-T101999.99,,102000.0,2025-05-14 21:05:00+00:00,79.0,800.0,55.0,300.0,1.0,64152.0,87.0,800.0,92.0,300.0,99.0,64152.0,,,,,,,,
2025-05-14 04:02:37,KXBTCD-25MAY1417-T102999.99,,103000.0,2025-05-14 21:05:00+00:00,60.0,300.0,51.0,300.0,49.0,26.0,68.0,600.0,71.0,300.0,82.0,3583.0,48.0,95.0,47.0,189.0,83.0,26.0,84.0,95.0
2025-05-14 04:02:37,KXBTCD-25MAY1417-T104499.99,,104500.0,2025-05-14 21:05:00+00:00,24.0,600.0,23.0,300.0,1.0,64152.0,32.0,500.0,51.0,300.0,99.0,64152.0,,,,,,,,
