2025-06-17 12:54:08,122 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T12:54:08.122178", "price": 103599.27, "session_update_count": 1800, "session_duration_minutes": 29.98}
2025-06-17 12:55:48,108 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T12:55:48.108841", "price": 103568.72, "session_update_count": 1900, "session_duration_minutes": 31.65}
2025-06-17 12:57:28,085 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T12:57:28.085043", "price": 103568.26, "session_update_count": 2000, "session_duration_minutes": 33.31}
2025-06-17 12:59:08,134 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T12:59:08.134175", "price": 103555.4, "session_update_count": 2100, "session_duration_minutes": 34.98}
2025-06-17 13:00:48,097 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:00:48.097674", "price": 103638.79, "session_update_count": 2200, "session_duration_minutes": 36.65}
2025-06-17 13:02:28,121 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:02:28.121541", "price": 103553.4, "session_update_count": 2300, "session_duration_minutes": 38.31}
2025-06-17 13:04:07,993 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:04:07.993476", "price": 103567.99, "session_update_count": 2400, "session_duration_minutes": 39.98}
2025-06-17 13:05:48,115 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:05:48.115317", "price": 103398.14, "session_update_count": 2500, "session_duration_minutes": 41.65}
2025-06-17 13:07:28,097 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:07:28.097292", "price": 103389.55, "session_update_count": 2600, "session_duration_minutes": 43.31}
2025-06-17 13:09:08,110 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:09:08.109890", "price": 103552.74, "session_update_count": 2700, "session_duration_minutes": 44.98}
2025-06-17 13:10:48,112 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:10:48.111928", "price": 103798.73, "session_update_count": 2800, "session_duration_minutes": 46.65}
2025-06-17 13:12:27,958 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:12:27.958673", "price": 103778.93, "session_update_count": 2900, "session_duration_minutes": 48.31}
2025-06-17 13:14:08,157 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:14:08.157101", "price": 103632.09, "session_update_count": 3000, "session_duration_minutes": 49.98}
2025-06-17 13:15:48,119 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:15:48.118905", "price": 103759.61, "session_update_count": 3100, "session_duration_minutes": 51.65}
2025-06-17 13:17:28,121 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:17:28.121246", "price": 103661.73, "session_update_count": 3200, "session_duration_minutes": 53.31}
2025-06-17 13:19:08,173 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:19:08.173615", "price": 103735.67, "session_update_count": 3300, "session_duration_minutes": 54.98}
2025-06-17 13:20:48,141 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:20:48.141037", "price": 103736.72, "session_update_count": 3400, "session_duration_minutes": 56.65}
2025-06-17 13:22:28,143 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:22:28.143011", "price": 103740.5, "session_update_count": 3500, "session_duration_minutes": 58.31}
2025-06-17 13:24:08,162 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:24:08.162825", "price": 103813.89, "session_update_count": 3600, "session_duration_minutes": 59.98}
2025-06-17 13:25:48,292 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:25:48.292405", "price": 103777.48, "session_update_count": 3700, "session_duration_minutes": 61.65}
2025-06-17 13:27:28,203 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:27:28.203612", "price": 103846.1, "session_update_count": 3800, "session_duration_minutes": 63.31}
2025-06-17 13:29:08,073 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:29:08.073653", "price": 103877.31, "session_update_count": 3900, "session_duration_minutes": 64.98}
2025-06-17 13:30:48,159 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:30:48.159125", "price": 103914.45, "session_update_count": 4000, "session_duration_minutes": 66.65}
2025-06-17 13:32:28,173 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:32:28.173334", "price": 104034.05, "session_update_count": 4100, "session_duration_minutes": 68.31}
2025-06-17 13:34:08,212 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:34:08.212417", "price": 104185.24, "session_update_count": 4200, "session_duration_minutes": 69.98}
2025-06-17 13:35:48,254 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:35:48.254558", "price": 104113.86, "session_update_count": 4300, "session_duration_minutes": 71.65}
2025-06-17 13:37:27,991 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:37:27.991291", "price": 104021.47, "session_update_count": 4400, "session_duration_minutes": 73.31}
2025-06-17 13:39:08,181 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:39:08.181579", "price": 103898.92, "session_update_count": 4500, "session_duration_minutes": 74.98}
